_id,date,center_name,attendance_count
53941505,2022-12-14,Arlington Community Center,32
53941506,2022-12-14,Brookline Community Center,12
53941507,2022-12-14,Magee Community Center,33
53941508,2022-12-14,Ormsby Community Center,11
53941509,2022-12-14,Warrington Community Center,63
53941510,2022-12-13,Paulson Community Center,24
53941511,2022-12-13,Phillips Community Center,16
53941512,2022-12-13,West Penn Community Center,66
53941513,2022-12-13,Arlington Community Center,4
53941514,2022-12-13,Ammon Community Center,3
53941515,2022-12-13,Brookline Community Center,10
53941516,2022-12-13,Magee Community Center,44
53941517,2022-12-13,Ormsby Community Center,14
53941518,2022-12-13,Warrington Community Center,52
53941519,2022-12-12,Phillips Community Center,30
53941520,2022-12-12,Paulson Community Center,9
53941521,2022-12-12,West Penn Community Center,59
53941522,2022-12-12,Ammon Community Center,36
53941523,2022-12-12,Arlington Community Center,11
53941524,2022-12-12,Brookline Community Center,5
53941525,2022-12-12,Magee Community Center,46
53941526,2022-12-12,Ormsby Community Center,12
53941527,2022-12-12,Warrington Community Center,48
53941528,2022-12-10,Phillips Community Center,5
53941529,2022-12-10,West Penn Community Center,93
53941530,2022-12-10,Brookline Community Center,6
53941531,2022-12-09,Phillips Community Center,43
53941532,2022-12-09,Paulson Community Center,20
53941533,2022-12-09,West Penn Community Center,58
53941534,2022-12-09,Ammon Community Center,26
53941535,2022-12-09,Brookline Community Center,21
53941536,2022-12-09,Magee Community Center,36
53941537,2022-12-09,Ormsby Community Center,20
53941538,2022-12-09,Warrington Community Center,52
53941539,2022-12-08,Paulson Community Center,14
53941540,2022-12-08,Phillips Community Center,30
53941541,2022-12-08,West Penn Community Center,39
53941542,2022-12-08,Ammon Community Center,1
53941543,2022-12-08,Brookline Community Center,37
53941544,2022-12-08,Magee Community Center,48
53941545,2022-12-08,Ormsby Community Center,7
53941546,2022-12-08,Warrington Community Center,54
53941547,2022-12-07,Phillips Community Center,46
53941548,2022-12-07,Paulson Community Center,20
53941549,2022-12-07,West Penn Community Center,56
53941550,2022-12-07,Ammon Community Center,12
53941551,2022-12-07,Arlington Community Center,27
53941552,2022-12-07,Brookline Community Center,36
53941553,2022-12-07,Magee Community Center,36
53941554,2022-12-07,Ormsby Community Center,9
53941555,2022-12-07,Warrington Community Center,59
53941556,2022-12-06,Paulson Community Center,21
53941557,2022-12-06,Phillips Community Center,49
53941558,2022-12-06,West Penn Community Center,61
53941559,2022-12-06,Ammon Community Center,3
53941560,2022-12-06,Brookline Community Center,36
53941561,2022-12-06,Magee Community Center,45
53941562,2022-12-06,Ormsby Community Center,17
53941563,2022-12-06,Warrington Community Center,45
53941564,2022-12-05,Phillips Community Center,32
53941565,2022-12-05,Paulson Community Center,18
53941566,2022-12-05,West Penn Community Center,42
53941567,2022-12-05,Ammon Community Center,30
53941568,2022-12-05,Arlington Community Center,7
53941569,2022-12-05,Brookline Community Center,30
53941570,2022-12-05,Magee Community Center,52
53941571,2022-12-05,Ormsby Community Center,9
53941572,2022-12-05,Warrington Community Center,42
53941573,2022-12-03,Phillips Community Center,13
53941574,2022-12-03,West Penn Community Center,112
53941575,2022-12-03,Brookline Community Center,2
53941576,2022-12-02,Phillips Community Center,39
53941577,2022-12-02,Paulson Community Center,19
53941578,2022-12-02,West Penn Community Center,40
53941579,2022-12-02,Ammon Community Center,22
53941580,2022-12-02,Brookline Community Center,23
53941581,2022-12-02,Magee Community Center,28
53941582,2022-12-02,Ormsby Community Center,13
53941583,2022-12-02,Warrington Community Center,36
53941584,2022-12-01,Paulson Community Center,17
53941585,2022-12-01,Phillips Community Center,20
53941586,2022-12-01,West Penn Community Center,78
53941587,2022-12-01,Ammon Community Center,3
53941588,2022-12-01,Arlington Community Center,1
53941589,2022-12-01,Brookline Community Center,38
53941590,2022-12-01,Magee Community Center,50
53941591,2022-12-01,Ormsby Community Center,8
53941592,2022-12-01,Warrington Community Center,68
53941593,2022-11-30,Phillips Community Center,24
53941594,2022-11-30,Paulson Community Center,15
53941595,2022-11-30,West Penn Community Center,62
53941596,2022-11-30,Arlington Community Center,25
53941597,2022-11-30,Ammon Community Center,26
53941598,2022-11-30,Brookline Community Center,26
53941599,2022-11-30,Magee Community Center,27
53941600,2022-11-30,Ormsby Community Center,14
53941601,2022-11-30,Warrington Community Center,53
53941602,2022-11-29,Paulson Community Center,15
53941603,2022-11-29,Phillips Community Center,53
53941604,2022-11-29,West Penn Community Center,37
53941605,2022-11-29,Brookline Community Center,26
53941606,2022-11-29,Magee Community Center,64
53941607,2022-11-29,Ormsby Community Center,10
53941608,2022-11-29,Warrington Community Center,61
53941609,2022-11-28,Phillips Community Center,27
53941610,2022-11-28,Paulson Community Center,5
53941611,2022-11-28,West Penn Community Center,58
53941612,2022-11-28,Arlington Community Center,12
53941613,2022-11-28,Brookline Community Center,30
53941614,2022-11-28,Magee Community Center,39
53941615,2022-11-28,Ormsby Community Center,14
53941616,2022-11-28,Warrington Community Center,38
53941617,2022-11-23,Paulson Community Center,15
53941618,2022-11-23,Phillips Community Center,31
53941619,2022-11-23,West Penn Community Center,37
53941620,2022-11-23,Arlington Community Center,1
53941621,2022-11-23,Ammon Community Center,26
53941622,2022-11-23,Brookline Community Center,24
53941623,2022-11-23,Magee Community Center,19
53941624,2022-11-23,Ormsby Community Center,6
53941625,2022-11-23,Warrington Community Center,70
53941626,2022-11-22,Phillips Community Center,48
53941627,2022-11-22,Paulson Community Center,20
53941628,2022-11-22,West Penn Community Center,113
53941629,2022-11-22,Ammon Community Center,22
53941630,2022-11-22,Brookline Community Center,25
53941631,2022-11-22,Magee Community Center,50
53941632,2022-11-22,Jefferson Community Center,21
53941633,2022-11-22,Ormsby Community Center,19
53941634,2022-11-22,Warrington Community Center,62
53941635,2022-11-21,Paulson Community Center,13
53941636,2022-11-21,Phillips Community Center,27
53941637,2022-11-21,West Penn Community Center,56
53941638,2022-11-21,Ammon Community Center,13
53941639,2022-11-21,Arlington Community Center,6
53941640,2022-11-21,Brookline Community Center,28
53941641,2022-11-21,Jefferson Community Center,29
53941642,2022-11-21,Magee Community Center,37
53941643,2022-11-21,Ormsby Community Center,8
53941644,2022-11-21,Warrington Community Center,58
53941645,2022-11-19,Phillips Community Center,16
53941646,2022-11-19,West Penn Community Center,14
53941647,2022-11-19,Brookline Community Center,4
53941648,2022-11-18,Phillips Community Center,52
53941649,2022-11-18,Paulson Community Center,19
53941650,2022-11-18,West Penn Community Center,44
53941651,2022-11-18,Arlington Community Center,17
53941652,2022-11-18,Ammon Community Center,1
53941653,2022-11-18,Brookline Community Center,15
53941654,2022-11-18,Magee Community Center,24
53941655,2022-11-18,Jefferson Community Center,13
53941656,2022-11-18,Ormsby Community Center,15
53941657,2022-11-18,Warrington Community Center,20
53941658,2022-11-17,Paulson Community Center,19
53941659,2022-11-17,Phillips Community Center,37
53941660,2022-11-17,West Penn Community Center,145
53941661,2022-11-17,Arlington Community Center,1
53941662,2022-11-17,Brookline Community Center,40
53941663,2022-11-17,Jefferson Community Center,1
53941664,2022-11-17,Magee Community Center,69
53941665,2022-11-17,Ormsby Community Center,10
53941666,2022-11-17,Warrington Community Center,62
53941667,2022-11-16,Phillips Community Center,51
53941668,2022-11-16,Paulson Community Center,15
53941669,2022-11-16,West Penn Community Center,2
53941670,2022-11-16,Arlington Community Center,52
53941671,2022-11-16,Ammon Community Center,4
53941672,2022-11-16,Brookline Community Center,33
53941673,2022-11-16,Magee Community Center,21
53941674,2022-11-16,Ormsby Community Center,15
53941675,2022-11-16,Warrington Community Center,42
53941676,2022-11-15,Paulson Community Center,16
53941677,2022-11-15,Phillips Community Center,54
53941678,2022-11-15,West Penn Community Center,200
53941679,2022-11-15,Ammon Community Center,2
53941680,2022-11-15,Brookline Community Center,31
53941681,2022-11-15,Magee Community Center,25
53941682,2022-11-15,Ormsby Community Center,10
53941683,2022-11-15,Warrington Community Center,57
53941684,2022-11-14,Phillips Community Center,41
53941685,2022-11-14,Paulson Community Center,12
53941686,2022-11-14,West Penn Community Center,61
53941687,2022-11-14,Ammon Community Center,4
53941688,2022-11-14,Arlington Community Center,15
53941689,2022-11-14,Brookline Community Center,27
53941690,2022-11-14,Magee Community Center,41
53941691,2022-11-14,Ormsby Community Center,12
53941692,2022-11-14,Warrington Community Center,66
53941693,2022-11-12,Phillips Community Center,5
53941694,2022-11-10,Phillips Community Center,30
53941695,2022-11-10,Paulson Community Center,14
53941696,2022-11-10,West Penn Community Center,101
53941697,2022-11-10,Arlington Community Center,2
53941698,2022-11-10,Ammon Community Center,3
53941699,2022-11-10,Brookline Community Center,48
53941700,2022-11-10,Ormsby Community Center,10
53941701,2022-11-10,Warrington Community Center,84
53941702,2022-11-09,Paulson Community Center,14
53941703,2022-11-09,Phillips Community Center,42
53941704,2022-11-09,West Penn Community Center,42
53941705,2022-11-09,Ammon Community Center,9
53941706,2022-11-09,Arlington Community Center,24
53941707,2022-11-09,Brookline Community Center,33
53941708,2022-11-09,Magee Community Center,23
53941709,2022-11-09,Ormsby Community Center,15
53941710,2022-11-09,Warrington Community Center,53
53941711,2022-11-08,Phillips Community Center,1
53941712,2022-11-08,Ammon Community Center,5
53941713,2022-11-08,Magee Community Center,30
53941714,2022-11-08,Ormsby Community Center,16
53941715,2022-11-07,Phillips Community Center,50
53941716,2022-11-07,Paulson Community Center,17
53941717,2022-11-07,West Penn Community Center,21
53941718,2022-11-07,Ammon Community Center,3
53941719,2022-11-07,Arlington Community Center,10
53941720,2022-11-07,Brookline Community Center,25
53941721,2022-11-07,Magee Community Center,29
53941722,2022-11-07,Jefferson Community Center,16
53941723,2022-11-07,Ormsby Community Center,11
53941724,2022-11-07,Warrington Community Center,59
53941725,2022-11-05,Phillips Community Center,4
53941726,2022-11-05,West Penn Community Center,17
53941727,2022-11-04,Phillips Community Center,50
53941728,2022-11-04,Paulson Community Center,17
53941729,2022-11-04,West Penn Community Center,57
53941730,2022-11-04,Arlington Community Center,25
53941731,2022-11-04,Ammon Community Center,3
53941732,2022-11-04,Brookline Community Center,21
53941733,2022-11-04,Jefferson Community Center,20
53941734,2022-11-04,Magee Community Center,21
53941735,2022-11-04,Ormsby Community Center,25
53941736,2022-11-04,Warrington Community Center,35
53941737,2022-11-03,Paulson Community Center,18
53941738,2022-11-03,Phillips Community Center,47
53941739,2022-11-03,West Penn Community Center,127
53941740,2022-11-03,Ammon Community Center,2
53941741,2022-11-03,Arlington Community Center,26
53941742,2022-11-03,Brookline Community Center,42
53941743,2022-11-03,Magee Community Center,25
53941744,2022-11-03,Ormsby Community Center,5
53941745,2022-11-03,Warrington Community Center,66
53941746,2022-11-02,Phillips Community Center,22
53941747,2022-11-02,Paulson Community Center,17
53941748,2022-11-02,West Penn Community Center,57
53941749,2022-11-02,Arlington Community Center,22
53941750,2022-11-02,Ammon Community Center,8
53941751,2022-11-02,Brookline Community Center,29
53941752,2022-11-02,Magee Community Center,26
53941753,2022-11-02,Ormsby Community Center,9
53941754,2022-11-02,Warrington Community Center,43
53941755,2022-11-01,Paulson Community Center,12
53941756,2022-11-01,Phillips Community Center,72
53941757,2022-11-01,West Penn Community Center,134
53941758,2022-11-01,Ammon Community Center,16
53941759,2022-11-01,Arlington Community Center,11
53941760,2022-11-01,Brookline Community Center,28
53941761,2022-11-01,Magee Community Center,23
53941762,2022-11-01,Ormsby Community Center,6
53941763,2022-11-01,Warrington Community Center,57
53941764,2022-10-31,Phillips Community Center,18
53941765,2022-10-31,Paulson Community Center,4
53941766,2022-10-31,West Penn Community Center,64
53941767,2022-10-31,Arlington Community Center,11
53941768,2022-10-31,Ammon Community Center,11
53941769,2022-10-31,Brookline Community Center,21
53941770,2022-10-31,Magee Community Center,36
53941771,2022-10-31,Jefferson Community Center,12
53941772,2022-10-31,Ormsby Community Center,5
53941773,2022-10-31,Warrington Community Center,54
53941774,2022-10-29,Phillips Community Center,15
53941775,2022-10-29,West Penn Community Center,59
53941776,2022-10-28,Phillips Community Center,53
53941777,2022-10-28,Paulson Community Center,21
53941778,2022-10-28,West Penn Community Center,63
53941779,2022-10-28,Ammon Community Center,8
53941780,2022-10-28,Arlington Community Center,21
53941781,2022-10-28,Brookline Community Center,21
53941782,2022-10-28,Magee Community Center,13
53941783,2022-10-28,Ormsby Community Center,14
53941784,2022-10-28,Warrington Community Center,48
53941785,2022-10-27,Paulson Community Center,19
53941786,2022-10-27,Phillips Community Center,43
53941787,2022-10-27,West Penn Community Center,122
53941788,2022-10-27,Arlington Community Center,3
53941789,2022-10-27,Ammon Community Center,6
53941790,2022-10-27,Brookline Community Center,31
53941791,2022-10-27,Magee Community Center,11
53941792,2022-10-27,Ormsby Community Center,5
53941793,2022-10-27,Warrington Community Center,51
53941794,2022-10-26,Phillips Community Center,36
53941795,2022-10-26,Paulson Community Center,10
53941796,2022-10-26,West Penn Community Center,51
53941797,2022-10-26,Ammon Community Center,5
53941798,2022-10-26,Arlington Community Center,8
53941799,2022-10-26,Brookline Community Center,15
53941800,2022-10-26,Magee Community Center,20
53941801,2022-10-26,Ormsby Community Center,4
53941802,2022-10-26,Warrington Community Center,31
53941803,2022-10-25,Paulson Community Center,21
53941804,2022-10-25,Phillips Community Center,79
53941805,2022-10-25,West Penn Community Center,144
53941806,2022-10-25,Arlington Community Center,2
53941807,2022-10-25,Ammon Community Center,5
53941808,2022-10-25,Brookline Community Center,28
53941809,2022-10-25,Magee Community Center,31
53941810,2022-10-25,Ormsby Community Center,11
53941811,2022-10-25,Warrington Community Center,48
53941812,2022-10-24,Phillips Community Center,30
53941813,2022-10-24,Paulson Community Center,18
53941814,2022-10-24,West Penn Community Center,68
53941815,2022-10-24,Ammon Community Center,9
53941816,2022-10-24,Arlington Community Center,15
53941817,2022-10-24,Brookline Community Center,22
53941818,2022-10-24,Magee Community Center,25
53941819,2022-10-24,Jefferson Community Center,1
53941820,2022-10-24,Ormsby Community Center,11
53941821,2022-10-24,Warrington Community Center,51
53941822,2022-10-22,West Penn Community Center,11
53941823,2022-10-21,Paulson Community Center,18
53941824,2022-10-21,Phillips Community Center,20
53941825,2022-10-21,West Penn Community Center,27
53941826,2022-10-21,Ammon Community Center,5
53941827,2022-10-21,Brookline Community Center,16
53941828,2022-10-21,Magee Community Center,32
53941829,2022-10-21,Ormsby Community Center,19
53941830,2022-10-21,Warrington Community Center,39
53941831,2022-10-20,Phillips Community Center,74
53941832,2022-10-20,Paulson Community Center,35
53941833,2022-10-20,West Penn Community Center,119
53941834,2022-10-20,Ammon Community Center,4
53941835,2022-10-20,Arlington Community Center,12
53941836,2022-10-20,Brookline Community Center,40
53941837,2022-10-20,Magee Community Center,16
53941838,2022-10-20,Ormsby Community Center,6
53941839,2022-10-20,Warrington Community Center,15
53941840,2022-10-19,Paulson Community Center,6
53941841,2022-10-19,Phillips Community Center,28
53941842,2022-10-19,West Penn Community Center,50
53941843,2022-10-19,Arlington Community Center,13
53941844,2022-10-19,Ammon Community Center,5
53941845,2022-10-19,Brookline Community Center,13
53941846,2022-10-19,Magee Community Center,21
53941847,2022-10-19,Ormsby Community Center,14
53941848,2022-10-19,Warrington Community Center,48
53941849,2022-10-18,Phillips Community Center,64
53941850,2022-10-18,Paulson Community Center,11
53941851,2022-10-18,West Penn Community Center,124
53941852,2022-10-18,Ammon Community Center,47
53941853,2022-10-18,Arlington Community Center,7
53941854,2022-10-18,Brookline Community Center,28
53941855,2022-10-18,Magee Community Center,17
53941856,2022-10-18,Ormsby Community Center,9
53941857,2022-10-18,Warrington Community Center,55
53941858,2022-10-17,Paulson Community Center,25
53941859,2022-10-17,Phillips Community Center,52
53941860,2022-10-17,West Penn Community Center,31
53941861,2022-10-17,Arlington Community Center,10
53941862,2022-10-17,Ammon Community Center,7
53941863,2022-10-17,Brookline Community Center,23
53941864,2022-10-17,Magee Community Center,34
53941865,2022-10-17,Ormsby Community Center,7
53941866,2022-10-17,Warrington Community Center,56
53941867,2022-10-15,Phillips Community Center,7
53941868,2022-10-15,West Penn Community Center,15
53941869,2022-10-15,Brookline Community Center,1
53941870,2022-10-14,Phillips Community Center,34
53941871,2022-10-14,Paulson Community Center,31
53941872,2022-10-14,West Penn Community Center,55
53941873,2022-10-14,Ammon Community Center,7
53941874,2022-10-14,Arlington Community Center,9
53941875,2022-10-14,Brookline Community Center,16
53941876,2022-10-14,Magee Community Center,9
53941877,2022-10-14,Ormsby Community Center,1
53941878,2022-10-14,Warrington Community Center,40
53941879,2022-10-13,Paulson Community Center,17
53941880,2022-10-13,Phillips Community Center,48
53941881,2022-10-13,West Penn Community Center,45
53941882,2022-10-13,Arlington Community Center,8
53941883,2022-10-13,Ammon Community Center,7
53941884,2022-10-13,Brookline Community Center,32
53941885,2022-10-13,Magee Community Center,34
53941886,2022-10-13,Ormsby Community Center,6
53941887,2022-10-13,Warrington Community Center,26
53941888,2022-10-12,Phillips Community Center,33
53941889,2022-10-12,Paulson Community Center,10
53941890,2022-10-12,West Penn Community Center,45
53941891,2022-10-12,Ammon Community Center,42
53941892,2022-10-12,Arlington Community Center,6
53941893,2022-10-12,Brookline Community Center,16
53941894,2022-10-12,Magee Community Center,32
53941895,2022-10-12,Ormsby Community Center,6
53941896,2022-10-12,Warrington Community Center,48
53941897,2022-10-11,Paulson Community Center,16
53941898,2022-10-11,Phillips Community Center,60
53941899,2022-10-11,West Penn Community Center,80
53941900,2022-10-11,Arlington Community Center,5
53941901,2022-10-11,Ammon Community Center,7
53941902,2022-10-11,Brookline Community Center,28
53941903,2022-10-11,Magee Community Center,20
53941904,2022-10-11,Jefferson Community Center,13
53941905,2022-10-11,Ormsby Community Center,12
53941906,2022-10-10,Phillips Community Center,27
53941907,2022-10-10,Paulson Community Center,10
53941908,2022-10-10,West Penn Community Center,44
53941909,2022-10-10,Ammon Community Center,12
53941910,2022-10-10,Arlington Community Center,22
53941911,2022-10-10,Brookline Community Center,14
53941912,2022-10-10,Magee Community Center,30
53941913,2022-10-10,Ormsby Community Center,15
53941914,2022-10-10,Warrington Community Center,53
53941915,2022-10-08,Phillips Community Center,10
53941916,2022-10-08,West Penn Community Center,17
53941917,2022-10-07,Phillips Community Center,40
53941918,2022-10-07,Paulson Community Center,17
53941919,2022-10-07,West Penn Community Center,43
53941920,2022-10-07,Arlington Community Center,14
53941921,2022-10-07,Ammon Community Center,3
53941922,2022-10-07,Brookline Community Center,14
53941923,2022-10-07,Magee Community Center,28
53941924,2022-10-07,Ormsby Community Center,13
53941925,2022-10-07,Warrington Community Center,42
53941926,2022-10-06,Paulson Community Center,13
53941927,2022-10-06,Phillips Community Center,18
53941928,2022-10-06,West Penn Community Center,57
53941929,2022-10-06,Ammon Community Center,5
53941930,2022-10-06,Arlington Community Center,4
53941931,2022-10-06,Brookline Community Center,37
53941932,2022-10-06,Magee Community Center,41
53941933,2022-10-06,Jefferson Community Center,15
53941934,2022-10-06,Ormsby Community Center,6
53941935,2022-10-06,Warrington Community Center,54
53941936,2022-10-05,Phillips Community Center,41
53941937,2022-10-05,Paulson Community Center,11
53941938,2022-10-05,West Penn Community Center,44
53941939,2022-10-05,Arlington Community Center,10
53941940,2022-10-05,Ammon Community Center,12
53941941,2022-10-05,Brookline Community Center,16
53941942,2022-10-05,Magee Community Center,17
53941943,2022-10-05,Ormsby Community Center,7
53941944,2022-10-05,Warrington Community Center,33
53941945,2022-10-04,Paulson Community Center,14
53941946,2022-10-04,Phillips Community Center,48
53941947,2022-10-04,West Penn Community Center,77
53941948,2022-10-04,Ammon Community Center,44
53941949,2022-10-04,Brookline Community Center,14
53941950,2022-10-04,Magee Community Center,27
53941951,2022-10-04,Ormsby Community Center,5
53941952,2022-10-04,Warrington Community Center,40
53941953,2022-10-03,Phillips Community Center,49
53941954,2022-10-03,Paulson Community Center,16
53941955,2022-10-03,West Penn Community Center,40
53941956,2022-10-03,Ammon Community Center,76
53941957,2022-10-03,Arlington Community Center,19
53941958,2022-10-03,Brookline Community Center,25
53941959,2022-10-03,Magee Community Center,23
53941960,2022-10-03,Jefferson Community Center,39
53941961,2022-10-03,Ormsby Community Center,9
53941962,2022-10-03,Warrington Community Center,44
53941963,2022-10-01,Phillips Community Center,1
53941964,2022-10-01,West Penn Community Center,28
53941965,2022-10-01,Brookline Community Center,1
53941966,2022-09-30,Phillips Community Center,48
53941967,2022-09-30,Paulson Community Center,21
53941968,2022-09-30,West Penn Community Center,27
53941969,2022-09-30,Arlington Community Center,20
53941970,2022-09-30,Ammon Community Center,11
53941971,2022-09-30,Brookline Community Center,16
53941972,2022-09-30,Jefferson Community Center,12
53941973,2022-09-30,Magee Community Center,40
53941974,2022-09-30,Ormsby Community Center,10
53941975,2022-09-30,Warrington Community Center,24
53941976,2022-09-29,Paulson Community Center,21
53941977,2022-09-29,Phillips Community Center,35
53941978,2022-09-29,West Penn Community Center,106
53941979,2022-09-29,Ammon Community Center,11
53941980,2022-09-29,Arlington Community Center,11
53941981,2022-09-29,Brookline Community Center,42
53941982,2022-09-29,Magee Community Center,36
53941983,2022-09-29,Ormsby Community Center,31
53941984,2022-09-29,Warrington Community Center,36
53941985,2022-09-28,Phillips Community Center,30
53941986,2022-09-28,Paulson Community Center,8
53941987,2022-09-28,West Penn Community Center,41
53941988,2022-09-28,Arlington Community Center,4
53941989,2022-09-28,Ammon Community Center,30
53941990,2022-09-28,Brookline Community Center,11
53941991,2022-09-28,Magee Community Center,18
53941992,2022-09-28,Jefferson Community Center,17
53941993,2022-09-28,Ormsby Community Center,14
53941994,2022-09-28,Warrington Community Center,41
53941995,2022-09-27,Paulson Community Center,12
53941996,2022-09-27,Phillips Community Center,63
53941997,2022-09-27,West Penn Community Center,104
53941998,2022-09-27,Ammon Community Center,8
53941999,2022-09-27,Arlington Community Center,8
53942000,2022-09-27,Brookline Community Center,22
53942001,2022-09-27,Magee Community Center,18
53942002,2022-09-27,Ormsby Community Center,16
53942003,2022-09-27,Warrington Community Center,38
53942004,2022-09-26,Phillips Community Center,27
53942005,2022-09-26,Paulson Community Center,8
53942006,2022-09-26,West Penn Community Center,40
53942007,2022-09-26,Arlington Community Center,13
53942008,2022-09-26,Ammon Community Center,24
53942009,2022-09-26,Brookline Community Center,23
53942010,2022-09-26,Magee Community Center,10
53942011,2022-09-26,Jefferson Community Center,14
53942012,2022-09-26,Ormsby Community Center,14
53942013,2022-09-26,Warrington Community Center,37
53942014,2022-09-24,Phillips Community Center,13
53942015,2022-09-24,West Penn Community Center,12
53942016,2022-09-23,Phillips Community Center,19
53942017,2022-09-23,Paulson Community Center,11
53942018,2022-09-23,West Penn Community Center,13
53942019,2022-09-23,Ammon Community Center,14
53942020,2022-09-23,Arlington Community Center,3
53942021,2022-09-23,Brookline Community Center,13
53942022,2022-09-23,Magee Community Center,39
53942023,2022-09-23,Ormsby Community Center,19
53942024,2022-09-23,Warrington Community Center,37
53942025,2022-09-22,Paulson Community Center,16
53942026,2022-09-22,Phillips Community Center,7
53942027,2022-09-22,West Penn Community Center,116
53942028,2022-09-22,Arlington Community Center,11
53942029,2022-09-22,Ammon Community Center,6
53942030,2022-09-22,Brookline Community Center,24
53942031,2022-09-22,Magee Community Center,32
53942032,2022-09-22,Jefferson Community Center,9
53942033,2022-09-22,Ormsby Community Center,7
53942034,2022-09-22,Warrington Community Center,37
53942035,2022-09-21,Phillips Community Center,19
53942036,2022-09-21,Paulson Community Center,15
53942037,2022-09-21,West Penn Community Center,35
53942038,2022-09-21,Ammon Community Center,9
53942039,2022-09-21,Brookline Community Center,12
53942040,2022-09-21,Magee Community Center,32
53942041,2022-09-21,Ormsby Community Center,5
53942042,2022-09-21,Warrington Community Center,47
53942043,2022-09-20,Paulson Community Center,12
53942044,2022-09-20,Phillips Community Center,68
53942045,2022-09-20,West Penn Community Center,108
53942046,2022-09-20,Ammon Community Center,40
53942047,2022-09-20,Arlington Community Center,3
53942048,2022-09-20,Brookline Community Center,16
53942049,2022-09-20,Magee Community Center,30
53942050,2022-09-20,Ormsby Community Center,8
53942051,2022-09-20,Warrington Community Center,43
53942052,2022-09-19,Phillips Community Center,38
53942053,2022-09-19,Paulson Community Center,17
53942054,2022-09-19,West Penn Community Center,52
53942055,2022-09-19,Arlington Community Center,3
53942056,2022-09-19,Ammon Community Center,9
53942057,2022-09-19,Brookline Community Center,15
53942058,2022-09-19,Magee Community Center,21
53942059,2022-09-19,Ormsby Community Center,8
53942060,2022-09-19,Warrington Community Center,31
53942061,2022-09-17,Phillips Community Center,4
53942062,2022-09-17,West Penn Community Center,11
53942063,2022-09-16,Phillips Community Center,31
53942064,2022-09-16,Paulson Community Center,17
53942065,2022-09-16,West Penn Community Center,42
53942066,2022-09-16,Ammon Community Center,11
53942067,2022-09-16,Arlington Community Center,1
53942068,2022-09-16,Brookline Community Center,17
53942069,2022-09-16,Magee Community Center,21
53942070,2022-09-16,Ormsby Community Center,10
53942071,2022-09-16,Warrington Community Center,45
53942072,2022-09-15,Paulson Community Center,12
53942073,2022-09-15,Phillips Community Center,46
53942074,2022-09-15,West Penn Community Center,59
53942075,2022-09-15,Arlington Community Center,3
53942076,2022-09-15,Ammon Community Center,21
53942077,2022-09-15,Brookline Community Center,27
53942078,2022-09-15,Magee Community Center,41
53942079,2022-09-15,Ormsby Community Center,6
53942080,2022-09-15,Warrington Community Center,26
53942081,2022-09-14,Phillips Community Center,21
53942082,2022-09-14,Paulson Community Center,18
53942083,2022-09-14,West Penn Community Center,39
53942084,2022-09-14,Ammon Community Center,76
53942085,2022-09-14,Arlington Community Center,10
53942086,2022-09-14,Brookline Community Center,12
53942087,2022-09-14,Magee Community Center,17
53942088,2022-09-14,Ormsby Community Center,11
53942089,2022-09-14,Warrington Community Center,41
53942090,2022-09-13,Paulson Community Center,8
53942091,2022-09-13,Phillips Community Center,45
53942092,2022-09-13,West Penn Community Center,37
53942093,2022-09-13,Ammon Community Center,58
53942094,2022-09-13,Brookline Community Center,19
53942095,2022-09-13,Magee Community Center,45
53942096,2022-09-13,Ormsby Community Center,7
53942097,2022-09-13,Warrington Community Center,33
53942098,2022-09-12,Phillips Community Center,55
53942099,2022-09-12,Paulson Community Center,9
53942100,2022-09-12,West Penn Community Center,51
53942101,2022-09-12,Ammon Community Center,42
53942102,2022-09-12,Brookline Community Center,12
53942103,2022-09-12,Magee Community Center,33
53942104,2022-09-12,Ormsby Community Center,11
53942105,2022-09-12,Warrington Community Center,47
53942106,2022-09-10,Phillips Community Center,1
53942107,2022-09-10,West Penn Community Center,29
53942108,2022-09-10,Brookline Community Center,5
53942109,2022-09-09,Phillips Community Center,25
53942110,2022-09-09,Paulson Community Center,14
53942111,2022-09-09,West Penn Community Center,31
53942112,2022-09-09,Ammon Community Center,25
53942113,2022-09-09,Brookline Community Center,14
53942114,2022-09-09,Magee Community Center,31
53942115,2022-09-09,Ormsby Community Center,6
53942116,2022-09-09,Warrington Community Center,28
53942117,2022-09-08,Paulson Community Center,13
53942118,2022-09-08,Phillips Community Center,56
53942119,2022-09-08,West Penn Community Center,41
53942120,2022-09-08,Ammon Community Center,29
53942121,2022-09-08,Arlington Community Center,2
53942122,2022-09-08,Brookline Community Center,26
53942123,2022-09-08,Magee Community Center,38
53942124,2022-09-08,Ormsby Community Center,9
53942125,2022-09-08,Warrington Community Center,35
53942126,2022-09-07,Phillips Community Center,53
53942127,2022-09-07,Paulson Community Center,19
53942128,2022-09-07,West Penn Community Center,24
53942129,2022-09-07,Arlington Community Center,4
53942130,2022-09-07,Ammon Community Center,11
53942131,2022-09-07,Brookline Community Center,10
53942132,2022-09-07,Magee Community Center,32
53942133,2022-09-07,Ormsby Community Center,8
53942134,2022-09-07,Warrington Community Center,23
53942135,2022-09-06,Paulson Community Center,17
53942136,2022-09-06,Phillips Community Center,38
53942137,2022-09-06,West Penn Community Center,58
53942138,2022-09-06,Ammon Community Center,13
